"key","DoesTargetFolderPathExistBeforeStatus","DoesStateStoreRecordExistBeforeStatus","Cognite_Ingest","DoesTargetFolderPathExistAfterStatus","DeletedInstanceTimestamp","DoesInstanceExistBeforeStatus","runstart","DeletedStateStoreRecordTimestamp","DeletedTargetFolderPathTimestamp","target_filepath_defined","RunId","DoesDwgDropFolderPathExistBeforeStatus","File_Type_Short_Name","CurrentDeleteFlag","DoesInstanceExistAfterStatus","Cognite_Id","runend","DoesStateStoreRecordExistAfterStatus","DeletedDwgDropFolderPathTimestamp","DoesDwgDropFolderPathExistAfterStatus","external_id","runFinished","sourceId","dwg_drop_path_defined","primary_key"
"c1ad2aebfcf2f5b35766109b62cacc01|r120.1h2p.332680","false","false","Y","false","","false","2026-09-22 18:26:38","","","D:\Data\edms\target\mtz_test_hasan\r120.1h2p.332680.pdf","c1ad2aebfcf2f5b35766109b62cacc01","","pdf","true","false","","2026-09-22 18:26:43","false","","","edmstest_541c346eba326a824414e4d2b75bc73c2954902f","true","r120.1h2p.332680.pdf","","r120.1h2p.332680"
"c1ad2aebfcf2f5b35766109b62cacc01|r120.1h2p.363548","false","false","Y","false","","false","2026-09-22 18:26:38","","","D:\Data\edms\target\mtz_test_hasan\r120.1h2p.363548.pdf","c1ad2aebfcf2f5b35766109b62cacc01","","pdf","true","false","","2026-09-22 18:26:43","false","","","edmstest_50743b039131b71bb11c86adaaa5b96b3cdd5818","true","r120.1h2p.363548.pdf","","r120.1h2p.363548"
"c1ad2aebfcf2f5b35766109b62cacc01|r120.1h2p.57690","false","false","Y","false","","false","2026-09-22 18:26:38","","","D:\Data\edms\target\mtz_test_hasan\r120.1h2p.57690.pdf","c1ad2aebfcf2f5b35766109b62cacc01","","pdf","true","false","","2026-09-22 18:26:43","false","","","edmstest_9b2544f739650f102a63adbcc443c253794ecf04","true","r120.1h2p.57690.pdf","","r120.1h2p.57690"
"22948ac31b3b03d8db57ebab213c531b|r120.1hdo.326389","true","true","Y","false","2026-09-22 18:17:02","true","2026-09-22 18:16:57","2026-09-22 18:17:02","2026-09-22 18:17:02","D:\Data\edms\target\mtz_test_hasan\r120.1hdo.326389.pdf","22948ac31b3b03d8db57ebab213c531b","","pdf","true","false","","2026-09-22 18:17:02","false","","","edmstest_f886bbf33efa2eee45ffe754ecf81871eaf929d0","true","r120.1hdo.326389.pdf","","r120.1hdo.326389"
"22948ac31b3b03d8db57ebab213c531b|r120.1hdo.356053","true","true","Y","false","2026-09-22 18:17:02","true","2026-09-22 18:16:57","2026-09-22 18:17:02","2026-09-22 18:17:02","D:\Data\edms\target\mtz_test_hasan\r120.1hdo.356053.dwg.pdf","22948ac31b3b03d8db57ebab213c531b","true","dwg","true","false","","2026-09-22 18:17:02","false","2026-09-22 18:17:02","false","edmstest_aac5e65a7c437c58c273a02428d4c16cfe44796f","true","r120.1hdo.356053.dwg.pdf","D:\Data\edms\dwg-drop\mtz_test_hasan\r120.1hdo.356053.dwg","r120.1hdo.356053"
"c1ad2aebfcf2f5b35766109b62cacc01|r120.1h2p.58050","false","false","Y","false","","false","2026-09-22 18:26:38","","","D:\Data\edms\target\mtz_test_hasan\r120.1h2p.58050.pdf","c1ad2aebfcf2f5b35766109b62cacc01","","pdf","true","false","","2026-09-22 18:26:43","false","","","edmstest_52c6cb0733c672da71213343b8aa348d5a5d6c91","true","r120.1h2p.58050.pdf","","r120.1h2p.58050"
"c1ad2aebfcf2f5b35766109b62cacc01|r120.1hdo.291142","false","false","Y","false","","false","2026-09-22 18:26:38","","","D:\Data\edms\target\mtz_test_hasan\r120.1hdo.291142.pdf","c1ad2aebfcf2f5b35766109b62cacc01","","pdf","true","false","","2026-09-22 18:26:43","false","","","edmstest_6042370465b3ae67bf05261a6b10990b5c67ebf7","true","r120.1hdo.291142.pdf","","r120.1hdo.291142"
"c1ad2aebfcf2f5b35766109b62cacc01|r120.1hdo.50789","false","false","Y","false","","false","2026-09-22 18:26:38","","","D:\Data\edms\target\mtz_test_hasan\r120.1hdo.50789.pdf","c1ad2aebfcf2f5b35766109b62cacc01","","pdf","true","false","","2026-09-22 18:26:43","false","","","edmstest_02be1bda99691691cd865818b76b122435d75242","true","r120.1hdo.50789.pdf","","r120.1hdo.50789"
"c1ad2aebfcf2f5b35766109b62cacc01|r120.1hds.277180","false","false","Y","false","","false","2026-09-22 18:26:38","","","D:\Data\edms\target\mtz_test_hasan\r120.1hds.277180.pdf","c1ad2aebfcf2f5b35766109b62cacc01","","pdf","true","false","","2026-09-22 18:26:43","false","","","edmstest_c0195ee4ef7a6c96b1e67cc61cb57e240f0ba4ad","true","r120.1hds.277180.pdf","","r120.1hds.277180"
"c1ad2aebfcf2f5b35766109b62cacc01|r120.1ptu.374484","false","false","Y","false","","false","2026-09-22 18:26:38","","","D:\Data\edms\target\mtz_test_hasan\r120.1ptu.374484.dwg.pdf","c1ad2aebfcf2f5b35766109b62cacc01","false","dwg","true","false","","2026-09-22 18:26:43","false","","false","edmstest_f5098a01a7a7cb176d798a169f2c211509eb8b7a","true","r120.1ptu.374484.dwg.pdf","D:\Data\edms\dwg-drop\mtz_test_hasan\r120.1ptu.374484.dwg","r120.1ptu.374484"
"22948ac31b3b03d8db57ebab213c531b|r120.1h2p.367628","true","true","Y","false","2026-09-22 18:17:02","true","2026-09-22 18:16:57","2026-09-22 18:17:02","2026-09-22 18:17:02","D:\Data\edms\target\mtz_test_hasan\r120.1h2p.367628.pdf","22948ac31b3b03d8db57ebab213c531b","","pdf","true","false","","2026-09-22 18:17:02","false","","","edmstest_9ae7febd7f12749977f7f0a53473a3f837143216","true","r120.1h2p.367628.pdf","","r120.1h2p.367628"
"22948ac31b3b03d8db57ebab213c531b|r120.1h2p.389559","true","true","Y","false","2026-09-22 18:17:02","true","2026-09-22 18:16:57","2026-09-22 18:17:02","2026-09-22 18:17:02","D:\Data\edms\target\mtz_test_hasan\r120.1h2p.389559.pdf","22948ac31b3b03d8db57ebab213c531b","","pdf","true","false","","2026-09-22 18:17:02","false","","","edmstest_8aa1ff2db39fdfdcddda8c9644056b3ea9127154","true","r120.1h2p.389559.pdf","","r120.1h2p.389559"
"22948ac31b3b03d8db57ebab213c531b|r120.1h2p.55536","true","true","Y","false","2026-09-22 18:17:02","true","2026-09-22 18:16:57","2026-09-22 18:17:02","2026-09-22 18:17:02","D:\Data\edms\target\mtz_test_hasan\r120.1h2p.55536.pdf","22948ac31b3b03d8db57ebab213c531b","","pdf","true","false","","2026-09-22 18:17:02","false","","","edmstest_d0b7dd58e514b815589e47b06d236ca2c02bb83e","true","r120.1h2p.55536.pdf","","r120.1h2p.55536"
"22948ac31b3b03d8db57ebab213c531b|r120.1ptu.371828","true","true","Y","false","2026-09-22 18:17:02","true","2026-09-22 18:16:57","2026-09-22 18:17:02","2026-09-22 18:17:02","D:\Data\edms\target\mtz_test_hasan\r120.1ptu.371828.dwg.pdf","22948ac31b3b03d8db57ebab213c531b","true","dwg","true","false","","2026-09-22 18:17:02","false","2026-09-22 18:17:02","false","edmstest_a871a4a92327c5ca04d6a514d7ec3ef88276eecd","true","r120.1ptu.371828.dwg.pdf","D:\Data\edms\dwg-drop\mtz_test_hasan\r120.1ptu.371828.dwg","r120.1ptu.371828"
"c1ad2aebfcf2f5b35766109b62cacc01|r120.1h2p.55936","false","false","Y","false","","false","2026-09-22 18:26:38","","","D:\Data\edms\target\mtz_test_hasan\r120.1h2p.55936.pdf","c1ad2aebfcf2f5b35766109b62cacc01","","pdf","true","false","","2026-09-22 18:26:43","false","","","edmstest_4731ce87e6e41cf4690d74716e9f1812ae6afcb9","true","r120.1h2p.55936.pdf","","r120.1h2p.55936"
"c1ad2aebfcf2f5b35766109b62cacc01|r120.1h2p.56652","false","false","Y","false","","false","2026-09-22 18:26:38","","","D:\Data\edms\target\mtz_test_hasan\r120.1h2p.56652.pdf","c1ad2aebfcf2f5b35766109b62cacc01","","pdf","true","false","","2026-09-22 18:26:43","false","","","edmstest_20b55c0daf0e3a1d216773a004963aeca62d6fc0","true","r120.1h2p.56652.pdf","","r120.1h2p.56652"
"c1ad2aebfcf2f5b35766109b62cacc01|r120.1hdo.326389","false","false","Y","false","","false","2026-09-22 18:26:38","","","D:\Data\edms\target\mtz_test_hasan\r120.1hdo.326389.pdf","c1ad2aebfcf2f5b35766109b62cacc01","","pdf","true","false","","2026-09-22 18:26:43","false","","","edmstest_f886bbf33efa2eee45ffe754ecf81871eaf929d0","true","r120.1hdo.326389.pdf","","r120.1hdo.326389"
"c1ad2aebfcf2f5b35766109b62cacc01|r120.1hdo.356053","false","false","Y","false","","false","2026-09-22 18:26:38","","","D:\Data\edms\target\mtz_test_hasan\r120.1hdo.356053.dwg.pdf","c1ad2aebfcf2f5b35766109b62cacc01","false","dwg","true","false","","2026-09-22 18:26:43","false","","false","edmstest_aac5e65a7c437c58c273a02428d4c16cfe44796f","true","r120.1hdo.356053.dwg.pdf","D:\Data\edms\dwg-drop\mtz_test_hasan\r120.1hdo.356053.dwg","r120.1hdo.356053"
"22948ac31b3b03d8db57ebab213c531b|r120.1hdo.356064","true","true","Y","false","2026-09-22 18:17:02","true","2026-09-22 18:16:57","2026-09-22 18:17:02","2026-09-22 18:17:02","D:\Data\edms\target\mtz_test_hasan\r120.1hdo.356064.dwg.pdf","22948ac31b3b03d8db57ebab213c531b","true","dwg","true","false","","2026-09-22 18:17:02","false","2026-09-22 18:17:02","false","edmstest_321b478dce1392b7c4f74f80d19c47bfb42a0a72","true","r120.1hdo.356064.dwg.pdf","D:\Data\edms\dwg-drop\mtz_test_hasan\r120.1hdo.356064.dwg","r120.1hdo.356064"
"22948ac31b3b03d8db57ebab213c531b|r120.1hdo.370466","true","true","Y","false","2026-09-22 18:17:02","true","2026-09-22 18:16:57","2026-09-22 18:17:02","2026-09-22 18:17:02","D:\Data\edms\target\mtz_test_hasan\r120.1hdo.370466.dwg.pdf","22948ac31b3b03d8db57ebab213c531b","true","dwg","true","false","","2026-09-22 18:17:02","false","2026-09-22 18:17:02","false","edmstest_0be1ddac6d9f97814313bce8722ba1e31fac7651","true","r120.1hdo.370466.dwg.pdf","D:\Data\edms\dwg-drop\mtz_test_hasan\r120.1hdo.370466.dwg","r120.1hdo.370466"
"22948ac31b3b03d8db57ebab213c531b|r120.1hds.277180","true","true","Y","false","2026-09-22 18:17:02","true","2026-09-22 18:16:57","2026-09-22 18:17:02","2026-09-22 18:17:02","D:\Data\edms\target\mtz_test_hasan\r120.1hds.277180.pdf","22948ac31b3b03d8db57ebab213c531b","","pdf","true","false","","2026-09-22 18:17:02","false","","","edmstest_c0195ee4ef7a6c96b1e67cc61cb57e240f0ba4ad","true","r120.1hds.277180.pdf","","r120.1hds.277180"
"22948ac31b3b03d8db57ebab213c531b|r120.1ptu.374484","true","true","Y","false","2026-09-22 18:17:02","true","2026-09-22 18:16:57","2026-09-22 18:17:02","2026-09-22 18:17:02","D:\Data\edms\target\mtz_test_hasan\r120.1ptu.374484.dwg.pdf","22948ac31b3b03d8db57ebab213c531b","true","dwg","true","false","","2026-09-22 18:17:02","false","2026-09-22 18:17:02","false","edmstest_f5098a01a7a7cb176d798a169f2c211509eb8b7a","true","r120.1ptu.374484.dwg.pdf","D:\Data\edms\dwg-drop\mtz_test_hasan\r120.1ptu.374484.dwg","r120.1ptu.374484"
"c1ad2aebfcf2f5b35766109b62cacc01|r120.1h2p.57389","false","false","Y","false","","false","2026-09-22 18:26:38","","","D:\Data\edms\target\mtz_test_hasan\r120.1h2p.57389.pdf","c1ad2aebfcf2f5b35766109b62cacc01","","pdf","true","false","","2026-09-22 18:26:43","false","","","edmstest_587cac2e2278f878e51562299bf5e5d5ec3fdf4d","true","r120.1h2p.57389.pdf","","r120.1h2p.57389"
"22948ac31b3b03d8db57ebab213c531b|r120.1h2p.332680","true","true","Y","false","2026-09-22 18:17:02","true","2026-09-22 18:16:57","2026-09-22 18:17:02","2026-09-22 18:17:02","D:\Data\edms\target\mtz_test_hasan\r120.1h2p.332680.pdf","22948ac31b3b03d8db57ebab213c531b","","pdf","true","false","","2026-09-22 18:17:02","false","","","edmstest_541c346eba326a824414e4d2b75bc73c2954902f","true","r120.1h2p.332680.pdf","","r120.1h2p.332680"
"22948ac31b3b03d8db57ebab213c531b|r120.1h2p.55936","true","true","Y","false","2026-09-22 18:17:02","true","2026-09-22 18:16:57","2026-09-22 18:17:02","2026-09-22 18:17:02","D:\Data\edms\target\mtz_test_hasan\r120.1h2p.55936.pdf","22948ac31b3b03d8db57ebab213c531b","","pdf","true","false","","2026-09-22 18:17:02","false","","","edmstest_4731ce87e6e41cf4690d74716e9f1812ae6afcb9","true","r120.1h2p.55936.pdf","","r120.1h2p.55936"
"22948ac31b3b03d8db57ebab213c531b|r120.1h2p.57389","true","true","Y","false","2026-09-22 18:17:02","true","2026-09-22 18:16:57","2026-09-22 18:17:02","2026-09-22 18:17:02","D:\Data\edms\target\mtz_test_hasan\r120.1h2p.57389.pdf","22948ac31b3b03d8db57ebab213c531b","","pdf","true","false","","2026-09-22 18:17:02","false","","","edmstest_587cac2e2278f878e51562299bf5e5d5ec3fdf4d","true","r120.1h2p.57389.pdf","","r120.1h2p.57389"
"22948ac31b3b03d8db57ebab213c531b|r120.1h2p.58050","true","true","Y","false","2026-09-22 18:17:02","true","2026-09-22 18:16:57","2026-09-22 18:17:02","2026-09-22 18:17:02","D:\Data\edms\target\mtz_test_hasan\r120.1h2p.58050.pdf","22948ac31b3b03d8db57ebab213c531b","","pdf","true","false","","2026-09-22 18:17:02","false","","","edmstest_52c6cb0733c672da71213343b8aa348d5a5d6c91","true","r120.1h2p.58050.pdf","","r120.1h2p.58050"
